id,score,distance,victims
781009,11628.948281150311,705.75,91 90 88 87 86 83 71 70 64 63 62 80 82 81 84 89 95 96 98 99 94 97 77 74 76 69 68 66 60 59 67 65 29 33 34 41 75 79 78 72 55 56 51 46 48 50 49 52 58 40 45 47 44 43 42 35 53 57 54 39 38 36 31 26 32 30 61 23 37 28 22 25 16 17 13 7 8 12 6 0 4 2 3 20 24 73 21 1 9 27 19 14 15 18 10 11 5
117353,11629.730801142752,706.75,91 90 88 87 86 83 71 70 64 63 62 80 82 81 84 89 95 96 98 99 94 97 77 74 76 69 68 66 60 59 67 65 29 33 34 41 75 79 78 72 55 56 51 46 48 50 49 52 58 40 45 35 42 43 44 47 53 57 54 39 38 36 31 26 32 30 61 23 37 28 22 25 16 17 13 7 8 12 6 0 4 2 20 24 21 73 3 1 9 27 19 15 14 18 10 11 5
732849,11629.730801142752,706.75,91 90 88 87 86 83 71 70 64 63 62 80 82 81 84 89 95 96 98 99 94 97 77 74 76 69 68 66 60 59 67 65 29 33 34 41 75 79 78 72 55 56 51 46 48 50 49 52 58 40 45 35 42 43 44 47 53 57 54 39 38 36 31 26 32 30 61 23 37 28 22 25 16 17 13 7 8 12 6 0 4 2 20 24 21 73 3 1 9 27 19 15 14 18 10 11 5
51655,11629.730801142752,706.75,91 90 88 87 86 83 71 70 64 63 62 80 82 81 84 89 95 96 98 99 94 97 77 74 76 69 68 66 60 59 67 65 29 33 34 41 75 79 78 72 55 56 51 46 48 50 49 52 58 40 45 35 42 43 44 47 53 57 54 39 38 36 31 26 32 30 61 23 37 28 22 25 16 17 13 7 8 12 6 0 4 2 20 24 21 73 3 1 9 27 19 15 14 18 10 11 5
117353,11629.730801142752,706.75,91 90 88 87 86 83 71 70 64 63 62 80 82 81 84 89 95 96 98 99 94 97 77 74 76 69 68 66 60 59 67 65 29 33 34 41 75 79 78 72 55 56 51 46 48 50 49 52 58 40 45 35 42 43 44 47 53 57 54 39 38 36 31 26 32 30 61 23 37 28 22 25 16 17 13 7 8 12 6 0 4 2 20 24 21 73 3 1 9 27 19 15 14 18 10 11 5
732849,11629.730801142752,706.75,91 90 88 87 86 83 71 70 64 63 62 80 82 81 84 89 95 96 98 99 94 97 77 74 76 69 68 66 60 59 67 65 29 33 34 41 75 79 78 72 55 56 51 46 48 50 49 52 58 40 45 35 42 43 44 47 53 57 54 39 38 36 31 26 32 30 61 23 37 28 22 25 16 17 13 7 8 12 6 0 4 2 20 24 21 73 3 1 9 27 19 15 14 18 10 11 5
312368,11633.287942431867,708.75,91 90 88 87 86 83 71 70 64 63 62 80 82 81 84 89 95 96 98 99 94 97 77 74 76 69 68 66 60 59 67 65 29 33 34 41 75 79 78 72 55 56 51 46 48 50 49 52 58 40 45 35 42 43 44 47 53 57 54 39 38 36 31 26 32 30 61 23 37 28 22 25 16 17 13 7 8 12 6 0 4 2 20 24 73 21 3 1 9 27 19 14 15 11 18 10 5
49290,11638.058619398624,712.25,91 90 88 87 86 83 71 70 64 63 62 80 82 81 84 89 95 96 98 99 94 97 77 74 76 69 68 66 60 59 67 65 29 33 34 41 75 79 78 72 55 56 51 46 48 50 49 52 58 40 45 35 42 43 44 47 53 57 54 39 38 36 31 26 32 30 61 23 37 28 22 25 16 17 13 7 8 12 6 0 4 2 20 24 21 73 3 1 9 27 19 14 15 11 18 10 5
404850,11638.058619398624,712.25,91 90 88 87 86 83 71 70 64 63 62 80 82 81 84 89 95 96 98 99 94 97 77 74 76 69 68 66 60 59 67 65 29 33 34 41 75 79 78 72 55 56 51 46 48 50 49 52 58 40 45 35 42 43 44 47 53 57 54 39 38 36 31 26 32 30 61 23 37 28 22 25 16 17 13 7 8 12 6 0 4 2 20 24 21 73 3 1 9 27 19 14 15 11 18 10 5
49290,11638.058619398624,712.25,91 90 88 87 86 83 71 70 64 63 62 80 82 81 84 89 95 96 98 99 94 97 77 74 76 69 68 66 60 59 67 65 29 33 34 41 75 79 78 72 55 56 51 46 48 50 49 52 58 40 45 35 42 43 44 47 53 57 54 39 38 36 31 26 32 30 61 23 37 28 22 25 16 17 13 7 8 12 6 0 4 2 20 24 21 73 3 1 9 27 19 14 15 11 18 10 5
81293,11638.158415853977,708.25,91 90 88 87 86 83 71 70 64 63 62 80 82 81 84 89 95 96 98 99 94 97 77 74 76 69 68 66 60 59 67 65 29 33 34 41 75 79 78 72 55 56 51 46 48 50 49 52 58 40 45 47 44 43 42 35 53 57 54 39 38 36 31 26 32 30 61 23 37 28 22 25 16 17 13 7 8 12 6 0 4 2 20 24 21 73 3 1 9 27 19 15 14 18 10 11 5
911821,11641.715557143092,710.25,91 90 88 87 86 83 71 70 64 63 62 80 82 81 84 89 95 96 98 99 94 97 77 74 76 69 68 66 60 59 67 65 29 33 34 41 75 79 78 72 55 56 51 46 48 50 49 52 58 40 45 47 44 43 42 35 53 57 54 39 38 36 31 26 32 30 61 23 37 28 22 25 16 17 13 7 8 12 6 0 4 2 20 24 73 21 3 1 9 27 19 14 15 11 18 10 5
911821,11641.715557143092,710.25,91 90 88 87 86 83 71 70 64 63 62 80 82 81 84 89 95 96 98 99 94 97 77 74 76 69 68 66 60 59 67 65 29 33 34 41 75 79 78 72 55 56 51 46 48 50 49 52 58 40 45 47 44 43 42 35 53 57 54 39 38 36 31 26 32 30 61 23 37 28 22 25 16 17 13 7 8 12 6 0 4 2 20 24 73 21 3 1 9 27 19 14 15 11 18 10 5
