id,score,distance,victims
504129,12575.012143716216,814.75,91 90 89 87 86 83 71 70 63 64 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 68 66 59 60 67 69 65 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 44 47 43 42 35 53 45 40 57 54 38 36 39 26 32 30 61 23 34 31 37 28 25 16 17 13 7 22 24 6 12 20 21 73 14 18 19 9 27 8 2 3 4 1 0 10 15 11 5
504129,12575.012143716216,814.75,91 90 89 87 86 83 71 70 63 64 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 68 66 59 60 67 69 65 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 44 47 43 42 35 53 45 40 57 54 38 36 39 26 32 30 61 23 34 31 37 28 25 16 17 13 7 22 24 6 12 20 21 73 14 18 19 9 27 8 2 3 4 1 0 10 15 11 5
377536,12600.20337209478,815.75,91 90 89 87 86 83 71 70 63 64 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 65 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 47 44 57 53 42 43 35 45 39 40 54 31 38 36 26 32 30 61 23 34 37 28 25 16 17 13 7 22 27 12 24 20 21 73 9 8 2 3 0 4 6 19 11 15 1 18 10 14 5
377536,12600.20337209478,815.75,91 90 89 87 86 83 71 70 63 64 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 65 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 47 44 57 53 42 43 35 45 39 40 54 31 38 36 26 32 30 61 23 34 37 28 25 16 17 13 7 22 27 12 24 20 21 73 9 8 2 3 0 4 6 19 11 15 1 18 10 14 5
799880,12609.639790136367,809.75,91 90 89 87 86 83 71 65 64 63 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 70 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 47 43 42 53 44 35 31 40 45 38 36 39 57 54 26 32 30 61 23 34 37 28 25 16 17 13 7 22 27 12 24 20 21 73 9 8 2 3 0 4 6 19 11 15 1 18 10 14 5
799880,12609.639790136367,809.75,91 90 89 87 86 83 71 65 64 63 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 70 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 47 43 42 53 44 35 31 40 45 38 36 39 57 54 26 32 30 61 23 34 37 28 25 16 17 13 7 22 27 12 24 20 21 73 9 8 2 3 0 4 6 19 11 15 1 18 10 14 5
348225,12647.84351914376,821.25,91 90 89 87 86 83 71 70 63 64 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 65 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 50 49 52 58 47 44 43 42 35 53 40 45 57 54 37 32 31 38 36 39 26 30 61 18 23 34 28 27 25 16 17 20 7 13 6 12 3 24 21 73 14 19 15 22 9 8 2 0 4 1 11 5 10
348225,12647.84351914376,821.25,91 90 89 87 86 83 71 70 63 64 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 65 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 50 49 52 58 47 44 43 42 35 53 40 45 57 54 37 32 31 38 36 39 26 30 61 18 23 34 28 27 25 16 17 20 7 13 6 12 3 24 21 73 14 19 15 22 9 8 2 0 4 1 11 5 10
290740,12652.456681326032,797.25,91 90 89 87 86 83 71 65 64 63 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 70 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 47 43 42 53 44 35 38 36 39 40 45 54 57 31 26 32 30 61 23 34 37 28 25 27 22 73 12 20 24 16 17 19 14 18 13 7 1 0 21 9 8 2 3 4 6 11 15 10 5
290740,12652.456681326032,797.25,91 90 89 87 86 83 71 65 64 63 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 70 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 47 43 42 53 44 35 38 36 39 40 45 54 57 31 26 32 30 61 23 34 37 28 25 27 22 73 12 20 24 16 17 19 14 18 13 7 1 0 21 9 8 2 3 4 6 11 15 10 5
960918,12672.58935000375,808.25,91 90 89 87 86 83 71 70 63 64 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 65 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 47 44 57 53 42 43 40 45 38 36 39 54 35 31 26 32 30 61 23 34 37 28 25 27 22 73 12 0 24 16 17 19 14 18 13 7 1 20 21 9 8 2 6 4 3 10 15 5 11
573981,12685.95338736102,809.75,91 90 89 87 86 83 71 70 63 64 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 65 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 47 43 42 53 44 57 40 45 38 36 39 54 35 31 26 32 30 61 23 34 37 28 25 27 22 73 12 0 24 16 17 19 14 18 13 7 1 20 21 9 8 2 6 4 3 10 15 5 11
232379,12697.00308727473,805.25,91 90 89 87 86 83 71 65 64 63 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 70 68 66 59 60 67 69 29 33 34 41 75 79 78 76 55 56 51 46 48 49 50 52 58 47 43 42 53 44 35 31 40 57 54 37 61 30 32 28 27 38 39 45 36 26 25 13 16 17 19 14 23 22 21 73 24 12 6 20 7 9 8 3 2 0 1 4 10 15 18 11 5
228388,12702.832183770835,863.25,91 90 89 87 86 83 71 70 63 64 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 65 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 38 36 47 43 42 53 44 35 31 40 45 39 57 54 30 61 5 34 32 28 26 25 16 13 6 12 2 4 23 19 14 37 17 7 73 21 20 24 22 9 27 18 15 0 8 3 1 11 10
776782,12703.01347000897,826.25,91 90 89 87 86 83 71 65 64 63 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 70 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 47 43 42 53 44 35 31 40 45 38 36 39 57 54 26 32 30 61 23 34 37 28 25 9 16 17 24 12 20 21 73 13 7 27 8 2 6 19 11 15 22 3 4 1 0 10 18 14 5
11818,12710.092212375253,812.75,91 90 89 87 86 83 71 65 64 63 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 70 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 47 43 42 53 44 35 31 40 45 38 36 39 57 54 32 26 30 61 18 23 34 37 28 27 25 16 17 13 7 22 24 6 12 20 21 73 14 19 9 8 2 3 1 0 4 11 15 10 5
638567,12710.092212375253,812.75,91 90 89 87 86 83 71 65 64 63 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 70 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 47 43 42 53 44 35 31 40 45 38 36 39 57 54 32 26 30 61 18 23 34 37 28 27 25 16 17 13 7 22 24 6 12 20 21 73 14 19 9 8 2 3 1 0 4 11 15 10 5
541305,12722.928558439016,827.25,91 90 89 87 86 83 71 70 63 64 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 65 68 66 59 60 67 69 29 33 46 41 75 79 78 76 56 55 51 48 49 50 52 58 47 43 42 53 44 35 31 57 40 45 54 38 36 26 32 30 61 23 34 37 28 25 16 39 17 13 7 22 24 6 12 20 21 73 14 18 19 9 27 8 2 3 4 1 0 10 15 11 5
71048,12735.628937605768,835.75,91 90 89 87 86 83 71 65 64 63 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 70 68 66 59 60 67 69 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 40 45 44 47 43 42 35 53 57 54 37 32 31 38 36 39 26 30 61 18 23 34 28 27 25 16 17 20 7 13 6 12 0 4 24 21 73 19 14 22 2 9 8 3 1 5 15 11 10
721010,12742.689370337874,834.75,91 90 89 87 86 83 71 70 63 64 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 65 68 66 59 60 67 69 29 33 48 46 41 75 79 78 76 51 56 55 49 50 52 58 47 43 42 53 44 35 31 40 45 38 36 39 57 54 34 30 37 32 28 17 26 25 13 16 19 14 61 18 23 27 20 21 7 22 1 73 6 12 24 9 8 2 3 0 4 5 15 11 10
122652,12758.787743706256,821.75,91 90 89 87 86 83 71 70 63 64 62 80 82 81 84 88 95 96 98 99 94 97 77 74 72 68 66 59 60 69 67 65 29 33 46 41 75 79 78 76 55 56 51 48 49 50 52 58 38 36 39 42 44 47 43 40 45 35 53 57 54 34 30 37 31 26 32 61 23 28 25 16 17 13 7 14 27 22 73 24 12 6 20 21 3 9 8 4 2 0 1 10 19 15 18 11 5
