314,28,27,0.767441,4
315,28,37,0.7505719,4
316,28,38,0.7288757,3
311,27,39,0.88359517,4
312,27,40,0.77547073,4
307,25,40,0.72296065,3
313,27,42,0.8398291,4
319,29,47,0.8727616,4
325,32,45,0.75555545,4
323,31,41,0.852574,4
322,31,39,0.853414,4
324,32,38,0.89114565,4
310,27,33,0.7598421,4
308,26,31,0.88413507,4
306,24,29,0.87209255,4
309,27,30,0.8531491,4
317,29,30,0.7982201,4
318,29,31,0.87186307,4
321,30,30,0.8200477,4
320,30,28,0.851477,4
326,33,25,0.814294,4
327,34,30,0.8444079,4
330,35,30,0.6474461,3
336,40,29,0.6340561,3
338,41,31,0.6344714,3
339,41,35,0.51970327,3
341,42,35,0.51214623,3
344,45,35,0.51309764,3
345,45,36,0.6396271,3
332,37,36,0.67850006,3
328,34,41,0.61004394,3
329,34,43,0.5329252,3
333,38,45,0.51151204,3
335,39,46,0.68817264,3
334,39,44,0.5437528,3
340,41,44,0.53144395,3
337,40,41,0.54469925,3
342,42,42,0.6635624,3
348,47,47,0.63755584,3
346,46,31,0.51797277,3
347,47,24,0.6960261,3
343,45,24,0.50989604,3
331,37,25,0.6917351,3
377,38,22,0.34533647,2
375,37,22,0.38214552,2
374,34,22,0.30874062,2
372,24,15,0.3923179,2
369,23,14,0.30574736,2
368,22,14,0.3960996,2
366,21,14,0.31338173,2
353,15,13,0.4172012,2
350,14,15,0.3757584,2
354,16,15,0.39482647,2
355,16,16,0.32155338,2
359,17,17,0.40731943,2
391,16,19,0.07106128,1
356,16,20,0.359215,2
349,13,22,0.31716648,2
389,10,24,0.111392304,1
351,14,28,0.33987844,2
357,16,30,0.47891197,2
360,18,24,0.4306528,2
364,20,20,0.3575568,2
371,23,18,0.2757694,2
370,23,17,0.36496216,2
399,27,17,0.21242994,1
373,28,18,0.20202112,1
398,26,20,0.21500209,1
401,32,20,0.1133904,1
379,47,19,0.42293745,2
378,47,13,0.37952834,2
407,47,11,0.23491919,1
406,47,9,0.16632213,1
283,33,0,0.6728784,3
402,33,6,0.2363925,1
400,29,7,0.1603275,1
361,18,32,0.28927112,2
362,18,34,0.4507534,2
367,21,36,0.23763257,1
363,19,37,0.27008483,2
365,20,45,0.37114596,2
358,16,43,0.34462205,2
352,14,40,0.30485272,2
393,17,22,0.068753615,1
396,21,20,0.16469972,1
392,17,10,0.1806407,1
395,21,6,0.17510808,1
394,20,4,0.13744113,1
397,22,2,0.07919404,1
390,16,3,0.15517363,1
382,6,12,0.08076499,1
386,8,15,0.14652951,1
387,9,17,0.12276514,1
403,45,5,0.117645815,1
404,45,7,0.082453564,1
405,45,10,0.12177694,1
376,38,14,0.20743555,1
384,7,38,0.06889031,1
388,9,41,0.13744113,1
385,7,42,0.1274414,1
383,6,44,0.09392604,1
