91,-7,-8,0.82275736,4
90,-10,-7,0.85143894,4
88,-12,-9,0.7454963,3
87,-13,-12,0.8290515,4
86,-20,-12,0.89097667,4
83,-24,-12,0.7222012,3
71,-23,-15,0.5987091,3
70,-26,-14,0.5899648,3
64,-39,-18,0.6474602,3
63,-40,-18,0.65381825,3
62,-41,-16,0.6176717,3
80,-38,-3,0.84132665,4
81,-30,-6,0.8512314,4
82,-29,-2,0.7598421,4
84,-23,-5,0.82181555,4
89,-12,-8,0.7302687,3
95,-10,-17,0.85152596,4
96,-8,-23,0.7927577,4
98,-6,-22,0.7454963,3
99,-5,-29,0.8544264,4
94,-10,-39,0.7952743,4
97,-6,-44,0.84056216,4
77,-16,-45,0.5411492,3
74,-20,-43,0.5575382,3
76,-18,-32,0.49608275,2
69,-30,-22,0.6643734,3
68,-33,-17,0.6111423,3
66,-35,-17,0.5582744,3
60,-44,-18,0.52797616,3
59,-45,-18,0.6424488,3
67,-33,-19,0.57063,3
65,-37,-21,0.7159172,3
61,-41,-23,0.5677664,3
19,-40,-25,0.24043155,1
23,-39,-26,0.19753665,1
29,-36,-30,0.39138168,2
30,-35,-30,0.39768496,2
33,-34,-29,0.33600855,2
34,-34,-27,0.37141708,2
41,-31,-27,0.37342477,2
75,-19,-25,0.58601946,3
78,-16,-25,0.51272446,3
79,-16,-24,0.515709,3
72,-19,-22,0.67924047,3
56,-26,-29,0.40941003,2
55,-26,-31,0.2934441,2
51,-28,-29,0.32143468,2
46,-30,-31,0.3194282,2
48,-29,-31,0.43642014,2
50,-28,-32,0.4204743,2
49,-28,-33,0.38611072,2
52,-27,-33,0.28182027,2
58,-25,-36,0.3808238,2
45,-30,-36,0.27332,2
40,-31,-36,0.35214344,2
36,-33,-38,0.35861394,2
35,-33,-42,0.37285486,2
42,-30,-44,0.29718232,2
43,-30,-43,0.44681242,2
44,-30,-42,0.39633253,2
47,-29,-41,0.39704677,2
53,-26,-42,0.28788263,2
54,-26,-40,0.49965683,2
57,-25,-39,0.33837783,2
39,-31,-40,0.38128734,2
38,-32,-39,0.28013822,2
31,-34,-38,0.26414555,2
26,-36,-37,0.22423434,1
27,-36,-36,0.07294616,1
28,-36,-34,0.30865714,2
32,-34,-33,0.31335613,2
37,-33,-34,0.34894332,2
25,-38,-37,0.075061575,1
17,-41,-37,0.127534,1
7,-44,-37,0.19393107,1
13,-42,-38,0.22593865,1
16,-41,-40,0.242473,1
12,-42,-46,0.21484974,1
6,-44,-45,0.26649678,2
2,-45,-45,0.23520231,1
3,-45,-44,0.100633875,1
0,-46,-43,0.1398407,1
4,-45,-43,0.28575268,2
8,-43,-43,0.06807428,1
21,-39,-43,0.16905358,1
20,-39,-44,0.21331546,1
24,-38,-45,0.13461205,1
73,-20,-46,0.51891977,3
1,-46,-39,0.06858419,1
9,-43,-37,0.07668543,1
22,-39,-35,0.08436437,1
18,-41,-30,0.07694209,1
14,-42,-30,0.25022426,2
15,-42,-28,0.2499009,1
10,-43,-29,0.077637315,1
5,-45,-27,0.21280423,1
11,-43,-27,0.12530771,1
